final_h,final_t,L,d_sequence,hash
18.26,70,13,"[2, 2, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3]",a353f07e9c3235c37cb4eb9abb57a456
18.01,118,6,"[21, 4, 16, 4, 7, 7]",db03a07ec43f286e1a64436c4de98846
18.98,92,7,"[7, 6, 6, 7, 6, 7, 7]",023266199bdcbbad4afb0ec23d80b63e
18.84,82,8,"[5, 5, 5, 5, 5, 5, 5, 6]",5b0d4960f043886eb899acf63de4595f
18.26,70,13,"[3, 2, 2, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3]",4ed9cf9c67b555e856d59dbe43277125
18.98,92,7,"[7, 7, 7, 6, 6, 7, 6]",e211a8a10980c43ace18fbecab270ac2
18.84,82,8,"[5, 5, 5, 6, 5, 5, 5, 5]",a15a3b3a04bfc97ba062aa2515164ffe
18.26,70,13,"[3, 3, 2, 3, 3, 3, 3, 2, 2, 3, 2, 3, 3]",8747d3e2e5e5367dd25e65852c7f1167
18.86,118,6,"[15, 8, 11, 12, 10, 3]",224227f5614fab99f0be33dd88929b85
18.98,92,7,"[7, 7, 6, 7, 6, 6, 7]",5f9d9d38e62504bdd8795a1956ad0257
18.84,82,8,"[5, 6, 5, 5, 5, 5, 5, 5]",07a790f4e2bc542a02755c3ad09beede
18.26,70,13,"[3, 3, 3, 2, 3, 3, 2, 3, 3, 2, 2, 3, 3]",bc04a50e8d6f9649ae3f71df34aa74b4
18.98,92,7,"[7, 6, 6, 7, 7, 6, 7]",b26c4e910c48a1cb8eb70456bc351af0
18.84,82,8,"[5, 5, 5, 5, 5, 6, 5, 5]",4beae1c91867b2e7def5397132319e6d
18.26,70,13,"[2, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 2, 3]",a94a4075bf58c51c0a9013c576a94ba7
18.3,118,6,"[4, 3, 10, 14, 16, 12]",65323331ca6c6511d663264189146960
18.98,92,7,"[6, 7, 7, 6, 7, 7, 6]",1f1ce8da2558ae12f020ed1a8908c485
18.84,82,8,"[5, 5, 5, 5, 6, 5, 5, 5]",0c041fce123106736b2c52021620ee54
18.26,70,13,"[3, 2, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2]",bb5a0162fc5c9fc09a8810dd75ba680a
18.02,118,6,"[18, 4, 11, 3, 7, 16]",304a22ebb661743d3fe0d4750161f281
18.98,92,7,"[6, 7, 6, 7, 7, 6, 7]",90e139c94a0f0a374229183bb7f63218
18.26,70,13,"[2, 3, 2, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3]",2f51e573b5f9c18c56e68ad44baf52a3
18.29,118,6,"[13, 7, 21, 3, 7, 8]",b2325ebf207b63401f5e60a044419582
18.98,92,7,"[7, 7, 6, 6, 7, 6, 7]",22ae0e29105aa4e49cbbdd8db7cd9d50
18.26,70,13,"[3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 3, 3, 2]",b71ca945dc7d4fc630ba1a6814abe689
18.84,82,8,"[6, 5, 5, 5, 5, 5, 5, 5]",c519bfbde01a2b962dc949a35c5e7641
18.26,70,13,"[3, 2, 2, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3]",f26ea8d7bfb761d5d534d7a51312c79a
18.9,118,6,"[6, 6, 6, 14, 18, 9]",2fc7f0fed5e44eeda7f56d9d2b2e0ee8
18.98,92,7,"[7, 7, 6, 7, 6, 7, 6]",51bb3e32c8c750b7844355e599d1da65
18.26,70,13,"[2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 2, 3]",339b8bad020171ec48619dd47ad9e48d
18.98,92,7,"[7, 7, 6, 6, 7, 7, 6]",79663f27954058c20d28132181df4ee6
18.26,70,13,"[3, 3, 2, 2, 3, 3, 3, 2, 3, 3, 2, 3, 3]",5a16b08e5ddf0725094917f0896a1ad1
18.08,118,6,"[20, 16, 9, 6, 4, 4]",9298d4f365a0ec7aa3bc5cc70c880d9b
18.98,92,7,"[6, 6, 7, 7, 7, 7, 6]",d9fe9f4b0a7d81311e0e64df02bdcebd
18.26,70,13,"[2, 3, 3, 2, 2, 3, 3, 3, 2, 3, 3, 3, 3]",21e0b5dc0d1f7ed2f8b7487f42b7c90e
18.98,92,7,"[6, 6, 7, 7, 6, 7, 7]",3b79105bb353422f5be186a3bc6b4c87
18.26,70,13,"[2, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3]",0210f374e1f0279893b0e8e8ff4d6f39
18.12,118,6,"[15, 3, 11, 4, 18, 8]",e3e14d39d0795b99a631cb482718b12a
18.98,92,7,"[7, 7, 6, 7, 7, 6, 6]",098e2a687e94ac29a00cd46a91bca734
18.26,70,13,"[3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 3, 2, 3]",ce4ec1931df4401a4f7ff9f329733852
18.24,118,6,"[13, 21, 7, 3, 9, 6]",9b66e7e5c2a3ba3bb7313292894c2d86
18.26,70,13,"[3, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 2]",6db441fefa03f4f02b8116357f2c0e26
18.84,82,8,"[5, 5, 5, 5, 5, 5, 6, 5]",03f37cc5106e5f4e3c6c5d81d9afbaf1
18.26,70,13,"[2, 2, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3]",4181f92b99785a34bcf339fb3bcc6a31
18.86,118,6,"[6, 10, 18, 10, 4, 11]",e2b0cf7437b0965b292de4ceb01aaf7e
18.98,92,7,"[6, 6, 6, 7, 7, 7, 7]",7ec0febf9638b08ad99941aa841cb6da
18.26,70,13,"[3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 2, 3, 3]",5174a94122f028048e88f81fcf5c765d
18.27,118,6,"[11, 15, 15, 2, 8, 8]",570c306970714156a33d0a5964d72c62
18.98,92,7,"[7, 6, 7, 6, 6, 7, 7]",41dd874be15c7dfe82dd3dca190061bf
18.26,70,13,"[2, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 2]",f659f97b9dbf80f7709a29e24dcc7800
18.98,92,7,"[6, 7, 6, 7, 7, 7, 6]",30b745665a9f627c4edce7dab29a005f
18.26,70,13,"[2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 2, 3]",ddf67e2a1442e1189e6b3e4d9436a85a
18.81,118,6,"[9, 5, 6, 21, 9, 9]",05bdde6f2bdcd681e67ab21b86354f17
18.98,92,7,"[6, 7, 7, 6, 6, 7, 7]",b78a5348fd136f430cb9b9801d3bb4a7
18.26,70,13,"[3, 3, 3, 2, 3, 3, 2, 3, 3, 2, 3, 2, 3]",bff52c666abca8923809d32926c112cf
18.42,118,6,"[12, 6, 20, 3, 9, 9]",138cde9517ade8f697d784ef1873883c
18.26,70,13,"[3, 2, 2, 3, 2, 3, 3, 2, 3, 3, 3, 3, 3]",026a7d54d41e4ccd5dc76ae9d534500f
18.98,92,7,"[6, 7, 7, 7, 6, 6, 7]",06dffeaa33bff2575e76d3f591f735be
18.84,82,8,"[5, 5, 6, 5, 5, 5, 5, 5]",f83fc2ba472967fc76016d828c4cc854
18.26,70,13,"[2, 3, 3, 3, 3, 3, 2, 3, 3, 2, 2, 3, 3]",231fa7a1ef4552fecbf03a7691857a5e
18.98,92,7,"[7, 6, 6, 6, 7, 7, 7]",0efeae3bcceb641b65872c7e60635288
18.26,70,13,"[3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3]",d5c628e8d28679b5f9fd11f56ef24d6f
18.98,92,7,"[6, 7, 6, 6, 7, 7, 7]",dc0431ef0dc7ddb881dad13e2d732705
18.26,70,13,"[3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 2, 3]",47f518e62f21d9c9bfe4e62ac32ede07
18.26,70,13,"[2, 3, 2, 3, 3, 2, 3, 3, 3, 3, 3, 2, 3]",b21605a4527045124a160aefc34c2874
18.18,118,6,"[7, 14, 4, 21, 4, 9]",bcfabfa78c9ee762b17119e9c132bb60
18.98,92,7,"[6, 7, 7, 7, 6, 7, 6]",718ec5ec7d05bb38383e8d0d56fb6a73
18.26,70,13,"[2, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2]",bf37a0afc8eba5cbdbdebaa3b7de9441
18.54,118,6,"[6, 10, 8, 22, 4, 9]",6df3dafc6fb77a0ed0e9b2fa9fa38038
18.26,70,13,"[3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 2, 2]",bc8c772b8ded23be2fafe7b61bac2b03
18.14,118,6,"[19, 6, 13, 5, 3, 13]",d600fa3ba82910a9ec703388160282a1
18.98,92,7,"[6, 7, 7, 6, 7, 6, 7]",24df9dc0fd0b3336a05735674958c199
18.26,70,13,"[3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 2, 2, 3]",ed803285a85ad80cfa65eb2262a621d0
18.11,118,6,"[4, 21, 5, 16, 6, 7]",bda353f8f166e2afaf548bccfd126892
18.26,70,13,"[2, 3, 3, 3, 2, 3, 3, 2, 3, 3, 3, 3, 2]",aedd2a7eb8a69ba95b7d879d21f42fc7
18.31,118,6,"[4, 23, 7, 7, 6, 12]",fff8aa07d9d220a53e271880fb1f454a
18.98,92,7,"[7, 6, 6, 7, 7, 7, 6]",7cd2cd6aa042d9db58dc4b0d335923a4
18.26,70,13,"[3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2]",3c6ddf4ff3d687774db44bf5c49ce726
18.01,118,6,"[15, 3, 3, 13, 15, 10]",6c196bf84778e7ca818548c03f768eca
18.98,92,7,"[7, 6, 7, 6, 7, 7, 6]",c8302cb50d00067e721bdf453dec1a67
